pid,show_bars
0,False
1,False
2,True
3,False
4,False
5,True
6,False
7,True
8,True
9,False
10,True
11,True
12,False
13,False
14,False
15,True
16,False
17,True
18,False
19,False
20,True
21,True
22,True
23,True
24,False
25,False
26,False
27,False
28,False
29,False
30,True
31,True
32,True
33,False
34,False
35,False
36,False
37,True
38,True
39,False
40,True
41,False
42,True
43,True
44,True
45,False
46,False
47,False
48,False
49,True
50,True
51,False
52,False
53,False
54,True
55,True
56,False
57,True
58,True
59,True
60,False
61,True
62,False
63,True
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,True
72,False
73,False
74,False
75,False
76,True
77,False
78,False
79,True
80,False
81,True
82,False
83,True
84,True
85,True
86,False
87,True
88,False
89,True
90,False
91,True
92,True
93,True
94,True
95,True
96,False
97,False
98,False
99,False
